name,tags,link,experience,lower_salary,upper_salary,currency
Аналитик данных / Big Data,"['SQL', 'Python', 'Анализ данных', 'Big Data', 'Data Analysis', 'Работа с базами данных', 'Прогнозирование']",https://saratov.hh.ru/vacancy/85866674?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,150000,150000,₽
Senior Data инженер в команду Data Финансовой платформы,[],https://saratov.hh.ru/vacancy/84120305?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data аналитик (Виртуальные ассистенты),"['Python', 'SQL', 'Big Data', 'Data Analysis', 'Hadoop', 'Математический анализ', 'Математическая статистика', 'Теория вероятностей', 'Статистический анализ', 'Умение работать в условиях многозадачности', 'Работа в условиях многозадачности']",https://saratov.hh.ru/vacancy/85860072?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Разработчик нейросетевых алгоритмов / Data Scientist,"['Python', 'PyTorch', 'Английский язык', 'Computer Vision', 'Machine Learning', 'Deep Learning']",https://saratov.hh.ru/vacancy/85585268?from=vacancy_search_list&query=data,Требуемый опыт работы: не требуется,70000,200000,₽
Senior Data Engineer / Руководитель направления разработки DWH,[],https://saratov.hh.ru/vacancy/80857249?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Science Team Leader Generative AI,['Английский\xa0— C1 — Продвинутый'],https://saratov.hh.ru/vacancy/85328588?from=vacancy_search_list&query=data,Требуемый опыт работы: более 6 лет,,,
Data Engineer,[],https://saratov.hh.ru/vacancy/85108313?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,231000,265000,₽
Data engineer / Инженер по работе с базами данных,[],https://saratov.hh.ru/vacancy/84564652?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Аналитик данных / Системный аналитик / Data Analyst (e-commerce),"['SQL', 'MS SQL Server', 'Аналитическое мышление', 'Математическая статистика', 'Python', 'MS Access', 'Анализ данных', 'Бизнес-анализ', 'Аналитические исследования', 'MS SQL', 'Работа с большим объемом информации', 'Работа с базами данных', 'Маркетинговый анализ', 'Подготовка презентаций', 'Transact-SQL', 'Математический анализ', 'Сбор и анализ информации', 'Составление отчетности', 'Алгоритмы', 'Проведение тестирований', 'Математическое моделирование', 'Точность и внимательность к деталям', 'Сводные таблицы', 'Ценовая политика', 'Математическое программирование', 'MS Visual Basic', 'MySQL', 'Аналитика', 'Анализ бизнес показателей', 'Статистический анализ']",https://saratov.hh.ru/vacancy/85586830?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,100000,150000,₽
Data Engineer,"['Python', 'SQL', 'Git', 'kafka', 'airflow', 'PostgreSQL', 'Kubernetes']",https://saratov.hh.ru/vacancy/82854999?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,220000,220000,₽
Data Engineer,[],https://saratov.hh.ru/vacancy/85685604?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Product Owner/Project Manager (направление Big Data),"['Коммуникабельность', 'Управление проектами', 'Навыки планирования']",https://saratov.hh.ru/vacancy/84650658?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Разработчик курса/методист/преподаватель по Data Science,[],https://saratov.hh.ru/vacancy/84549074?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data analyst (Sales),[],https://saratov.hh.ru/vacancy/85831187?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Senior Data Scientist,"['Python', 'Английский язык', 'Linux', 'Публичные выступления', 'C++']",https://saratov.hh.ru/vacancy/82213529?from=vacancy_search_list&query=data,Требуемый опыт работы: более 6 лет,,,
Senior Data engineer,"['DWH', 'СУБД', 'ClickHouse', 'Python', 'BI', 'SQL', 'Big Data', 'Arenadata', 'Greenplum', 'PostgreSQL', 'Airflow', 'NI-FI', 'Vertica', 'Teradata', 'Hadoop']",https://saratov.hh.ru/vacancy/83015779?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Team Lead,[],https://saratov.hh.ru/vacancy/85116371?from=vacancy_search_list&query=data,Требуемый опыт работы: более 6 лет,,,
Senior Data Scientist,"['Python', 'Machine Learning', 'PyTorch', 'Машинное обучение', 'Linux']",https://saratov.hh.ru/vacancy/84263849?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Senior Data Engineer,"['Big Data', 'Хранилища данных', 'ETL', 'SAP Process Integration', 'JSON', 'SOAP', 'REST API', 'Postman', 'Apache Kafka', 'Java', 'MsSQL', 'PosgreSQL', 'HTTP', 'Data Analysis']",https://saratov.hh.ru/vacancy/85289363?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Lead AI Data Scientist,"['Английский язык', 'Python', 'Machine Learning', 'ML', 'Английский\xa0— C1 — Продвинутый']",https://saratov.hh.ru/vacancy/85137080?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,8000,8000,$
Аналитик данных / Data scientist,"['Python', 'PostgreSQL', 'Grafana', 'Elasticsearch', 'Clickhouse', 'Linux']",https://saratov.hh.ru/vacancy/77725684?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
"Data Engineer (Junior, Middle)","['Python', 'SQL', 'PostgreSQL', 'ClickHouse', 'Hadoop', 'MLOps', 'Ni-Fi', 'S3', 'Spark', 'Kafka', 'DWH', 'Data lake', 'ETL', 'Базы данных', 'Big Data', 'Data']",https://saratov.hh.ru/vacancy/72054128?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer / дата инженер,[],https://saratov.hh.ru/vacancy/84311296?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Специалист по машинному обучению и анализу данных / Data Scientist (Middle),['Английский\xa0— B2 — Средне-продвинутый'],https://saratov.hh.ru/vacancy/85855472?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer,"['Python', 'Hadoop', 'Spark', 'DWH']",https://saratov.hh.ru/vacancy/78564408?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
,[],https://saratov.hh.ru/vacancy/85774181?from=vacancy_search_list&query=data,,,,
Data Scientist,[],https://saratov.hh.ru/vacancy/85767205?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Science,"['Data Science', 'ORACLE', 'Python', 'Git', 'Airflow']",https://saratov.hh.ru/vacancy/85765966?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer,[],https://saratov.hh.ru/vacancy/85754221?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer,"['Python', 'SQL', 'Hadoop']",https://saratov.hh.ru/vacancy/75566599?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer (Big Data Platform team),"['Hadoop', 'Hive', 'SCALA', 'Spark', 'Bash', 'Docker', 'Linux', 'Python', 'Docker-compose', 'Vertica', 'Airflow', 'Английский\xa0— B2 — Средне-продвинутый']",https://saratov.hh.ru/vacancy/82852105?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Middle/Senior Data Scientist,"['Python', 'SQL', 'Data Analysis', 'Английский\xa0— B2 — Средне-продвинутый']",https://saratov.hh.ru/vacancy/85051758?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
